pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate
55 Cnc,e,Radial Velocity,5,0.736539,0.000007,-0.000007,0,0.01544,0.00009,-0.00009,0,,,,,83.3,0.9,-0.8,0,0.02542,0.00098,-0.00098,0,Mass,0.17,0.007,-0.007,0,6.4,0.8,-0.7,0,0,0,0,1,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.96,0.01,0,0,V (Johnson),5196,24,-24,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2016-07-07
BD+20 594,b,Transit,1,41.6855,0.003,-0.0031,0,0.241,0.019,-0.017,0,0,,,0,89.55,0.17,-0.14,0,0.05129,0.01888,-0.01919,0,Mass,0.199,0.012,-0.01,0,7.89,3.4,-3.1,0,0,0,1,1,03h34m36.23s,53.650966,+20d35m57.2s,20.599232,152.1,9.7,-7.4,0,11.038,0.047,0,0,V (Johnson),5766,99,-99,0,0,0.96,0.03,-0.03,0,0,0.93,0.06,-0.04,0,0,2016-07-28
CoRoT-24,b,Transit,2,5.1134,0.0006,-0.0006,0,0.056,0.002,-0.002,0,0,,,0,86.5,2,-2,0,0.018,,,1,Mass,0.33,0.04,-0.04,0,0.9,,,1,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,70,-70,0,,,,,,4950,150,-150,0,0,0.91,0.09,-0.09,0,0,0.86,0.09,-0.09,0,0,2014-06-11
CoRoT-7,b,Transit,2,0.85359159,0.00000057,-0.00000057,0,0.017016,0.00017,-0.000036,0,0,,,0,80.78,0.51,-0.23,0,0.018,0.003,-0.003,0,Mass,0.141,0.006,-0.006,0,7.5,1.4,-1.4,0,0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.7,4.5,-4.5,0,11.668,0.008,0,0,V (Johnson),5259,58,-58,0,0,0.91,0.02,-0.02,0,0,0.82,0.02,-0.02,0,0,2015-03-05
GJ 1132,b,Transit,1,1.62893,0.000031,-0.000031,0,,,,,0,,,0,,,,,0.0051,0.00173,-0.00173,0,Mass,0.103,0.01,-0.01,0,6,2.5,-2.5,0,0,0,0,1,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.04,0.24,-0.24,0,13.49,0.03,0,0,V (Johnson),3270,140,-140,0,0,0.18,0.02,-0.02,0,0,0.21,0.02,-0.02,0,0,2015-11-12
GJ 1214,b,Transit,1,1.58040456,0.00000016,-0.00000016,0,0.01411,0.00032,-0.00032,0,,,,,88.17,0.54,-0.54,0,0.0197,0.0027,-0.0027,0,Mass,0.254,0.018,-0.018,0,1.49,0.33,-0.33,0,0,0,0,3,17h15m18.92s,258.828837,+04d57m50.1s,4.96392,,,,,15.1,0.6,0,0,V (Johnson),3170,23,-23,0,0,0.16,0.01,-0.01,0,0,0.18,0.01,-0.01,0,0,2015-12-03
HAT-P-21,b,Transit,1,4.124481,0.000007,-0.000007,0,0.0494,0.0007,-0.0007,0,0.228,0.016,-0.016,0,87.2,0.7,-0.7,0,4.063,0.161,-0.161,0,Mass,1.024,0.092,-0.092,0,4.68,1.59,-0.99,0,0,0,0,0,11h25m05.99s,171.274955,+41d01m40.6s,41.027954,254,19,-19,0,11.685,,0,0,V (Johnson),5588,80,-80,0,0,0.95,0.04,-0.04,0,0,1.1,0.08,-0.08,0,0,2014-05-14
HD 97658,b,Radial Velocity,1,9.4909,0.0016,-0.0015,0,0.0796,0.0011,-0.0011,0,0.063,0.059,-0.044,0,89.45,0.37,-0.42,0,0.02473,0.0023,-0.0023,0,Mass,0.209,0.015,-0.013,0,3.35,0.76,-0.65,0,0,0,0,1,11h14m33.16s,168.638184,+25d42m37.4s,25.710384,21.3,0.43,-0.45,0,7.71,0.01,0,0,V (Johnson),5119,50,-50,0,0,0.75,0.03,-0.03,0,0,0.7,0.04,-0.03,0,0,2016-10-27
HIP 116454,b,Transit,1,9.1205,0.0005,-0.0005,0,0.0906,0.0049,-0.0049,,0.205,0.072,-0.072,0,88.43,0.4,-0.4,0,0.037,0.004,-0.004,0,Mass,0.226,0.016,-0.016,0,4.17,1.08,-1.08,0,0,0,1,0,23h35m49.28s,353.955353,+00d26m43.9s,0.445516,55.2,5.4,-5.4,0,10.19,0.009,0,0,V (Johnson),5089,50,-50,0,0,0.78,0.03,-0.03,0,0,0.72,0.02,-0.02,0,0,2014-12-19
K2-38,b,Transit,2,4.01593,0.0005,-0.0005,0,0.0506,0.0008,-0.0008,0,,,,,87.28,1.88,-3.08,0,0.03776,0.00912,-0.00912,0,Mass,0.138,0.014,-0.014,0,17.5,8.5,-6.2,0,0,0,1,0,16h00m08.06s,240.033579,-23d11m21.4s,-23.189288,,,,,11.39,0.03,0,0,V (Johnson),5757,60,-60,0,0,1.07,0.05,-0.05,0,0,1.1,0.09,-0.09,0,0,2016-07-07
